"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FBORNPOP","TOT","PC_POP","A","2000",23.2,
"AUS","FBORNPOP","TOT","PC_POP","A","2001",23.4,
"AUS","FBORNPOP","TOT","PC_POP","A","2002",23.4,
"AUS","FBORNPOP","TOT","PC_POP","A","2003",23.7,
"AUS","FBORNPOP","TOT","PC_POP","A","2004",23.9,
"AUS","FBORNPOP","TOT","PC_POP","A","2005",24.2,
"AUS","FBORNPOP","TOT","PC_POP","A","2006",24.5,
"AUS","FBORNPOP","TOT","PC_POP","A","2007",25,
"AUS","FBORNPOP","TOT","PC_POP","A","2008",25.7,
"AUS","FBORNPOP","TOT","PC_POP","A","2009",26.3,
"AUS","FBORNPOP","TOT","PC_POP","A","2010",26.5,
"AUS","FBORNPOP","TOT","PC_POP","A","2011",26.7,
"AUS","FBORNPOP","TOT","PC_POP","A","2012",27.1,
"AUS","FBORNPOP","TOT","PC_POP","A","2013",27.6,
"AUS","FBORNPOP","TOT","PC_POP","A","2014",27.8,
"AUS","FBORNPOP","TOT","PC_POP","A","2015",28.1,
"AUS","FBORNPOP","TOT","PC_POP","A","2016",28.5,
"AUS","FBORNPOP","TOT","PC_POP","A","2017",29,
"AUS","FBORNPOP","TOT","PC_POP","A","2018",29.5,
"AUS","FBORNPOP","TOT","PC_POP","A","2019",29.9,
"BEL","FBORNPOP","TOT","PC_POP","A","2000",10.1,
"BEL","FBORNPOP","TOT","PC_POP","A","2001",10.3,
"BEL","FBORNPOP","TOT","PC_POP","A","2002",10.7,
"BEL","FBORNPOP","TOT","PC_POP","A","2003",11.1,
"BEL","FBORNPOP","TOT","PC_POP","A","2004",11.3,
"BEL","FBORNPOP","TOT","PC_POP","A","2005",11.6,
"BEL","FBORNPOP","TOT","PC_POP","A","2006",11.9,
"BEL","FBORNPOP","TOT","PC_POP","A","2007",12.3,
"BEL","FBORNPOP","TOT","PC_POP","A","2008",12.8,
"BEL","FBORNPOP","TOT","PC_POP","A","2009",13.3,
"BEL","FBORNPOP","TOT","PC_POP","A","2010",13.7,
"BEL","FBORNPOP","TOT","PC_POP","A","2011",14.8,
"BEL","FBORNPOP","TOT","PC_POP","A","2012",14.8,
"BEL","FBORNPOP","TOT","PC_POP","A","2013",15.7,
"BEL","FBORNPOP","TOT","PC_POP","A","2014",15.8,
"BEL","FBORNPOP","TOT","PC_POP","A","2015",15.8,
"BEL","FBORNPOP","TOT","PC_POP","A","2016",16.3,
"BEL","FBORNPOP","TOT","PC_POP","A","2017",16.6,
"BEL","FBORNPOP","TOT","PC_POP","A","2018",16.8,
"BEL","FBORNPOP","TOT","PC_POP","A","2019",17.2,
"CAN","FBORNPOP","TOT","PC_POP","A","2000",17.4,
"CAN","FBORNPOP","TOT","PC_POP","A","2001",17.6,
"CAN","FBORNPOP","TOT","PC_POP","A","2002",18,
"CAN","FBORNPOP","TOT","PC_POP","A","2003",18.2,
"CAN","FBORNPOP","TOT","PC_POP","A","2004",18.5,
"CAN","FBORNPOP","TOT","PC_POP","A","2005",18.7,
"CAN","FBORNPOP","TOT","PC_POP","A","2006",19,
"CAN","FBORNPOP","TOT","PC_POP","A","2007",19.2,
"CAN","FBORNPOP","TOT","PC_POP","A","2008",19.4,
"CAN","FBORNPOP","TOT","PC_POP","A","2009",19.6,
"CAN","FBORNPOP","TOT","PC_POP","A","2010",19.8,
"CAN","FBORNPOP","TOT","PC_POP","A","2011",19.6,
"CAN","FBORNPOP","TOT","PC_POP","A","2012",19.8,
"CAN","FBORNPOP","TOT","PC_POP","A","2013",19.9,
"CAN","FBORNPOP","TOT","PC_POP","A","2014",20.1,
"CAN","FBORNPOP","TOT","PC_POP","A","2015",20.2,
"CAN","FBORNPOP","TOT","PC_POP","A","2016",20.7,
"CAN","FBORNPOP","TOT","PC_POP","A","2017",21,
"DNK","FBORNPOP","TOT","PC_POP","A","2000",5.6,
"DNK","FBORNPOP","TOT","PC_POP","A","2001",5.8,
"DNK","FBORNPOP","TOT","PC_POP","A","2002",6,
"DNK","FBORNPOP","TOT","PC_POP","A","2003",6.2,
"DNK","FBORNPOP","TOT","PC_POP","A","2004",6.3,
"DNK","FBORNPOP","TOT","PC_POP","A","2005",6.3,
"DNK","FBORNPOP","TOT","PC_POP","A","2006",6.4,
"DNK","FBORNPOP","TOT","PC_POP","A","2007",6.6,
"DNK","FBORNPOP","TOT","PC_POP","A","2008",6.9,
"DNK","FBORNPOP","TOT","PC_POP","A","2009",7.3,
"DNK","FBORNPOP","TOT","PC_POP","A","2010",7.5,
"DNK","FBORNPOP","TOT","PC_POP","A","2011",7.7,
"DNK","FBORNPOP","TOT","PC_POP","A","2012",7.9,
"DNK","FBORNPOP","TOT","PC_POP","A","2013",8.1,
"DNK","FBORNPOP","TOT","PC_POP","A","2014",8.4,
"DNK","FBORNPOP","TOT","PC_POP","A","2015",8.8,
"DNK","FBORNPOP","TOT","PC_POP","A","2016",9.5,
"DNK","FBORNPOP","TOT","PC_POP","A","2017",10,
"DNK","FBORNPOP","TOT","PC_POP","A","2018",10.3,
"DNK","FBORNPOP","TOT","PC_POP","A","2019",10.5,
"FIN","FBORNPOP","TOT","PC_POP","A","2000",2.5,
"FIN","FBORNPOP","TOT","PC_POP","A","2001",2.6,
"FIN","FBORNPOP","TOT","PC_POP","A","2002",2.8,
"FIN","FBORNPOP","TOT","PC_POP","A","2003",2.9,
"FIN","FBORNPOP","TOT","PC_POP","A","2004",3,
"FIN","FBORNPOP","TOT","PC_POP","A","2005",3.2,
"FIN","FBORNPOP","TOT","PC_POP","A","2006",3.3,
"FIN","FBORNPOP","TOT","PC_POP","A","2007",3.5,
"FIN","FBORNPOP","TOT","PC_POP","A","2008",3.8,
"FIN","FBORNPOP","TOT","PC_POP","A","2009",4.1,
"FIN","FBORNPOP","TOT","PC_POP","A","2010",4.3,
"FIN","FBORNPOP","TOT","PC_POP","A","2011",4.6,
"FIN","FBORNPOP","TOT","PC_POP","A","2012",4.9,
"FIN","FBORNPOP","TOT","PC_POP","A","2013",5.2,
"FIN","FBORNPOP","TOT","PC_POP","A","2014",5.6,
"FIN","FBORNPOP","TOT","PC_POP","A","2015",5.9,
"FIN","FBORNPOP","TOT","PC_POP","A","2016",6.1,
"FIN","FBORNPOP","TOT","PC_POP","A","2017",6.5,
"FIN","FBORNPOP","TOT","PC_POP","A","2018",6.7,
"FIN","FBORNPOP","TOT","PC_POP","A","2019",7,
"DEU","FBORNPOP","TOT","PC_POP","A","2000",12.5,
"DEU","FBORNPOP","TOT","PC_POP","A","2001",12.6,
"DEU","FBORNPOP","TOT","PC_POP","A","2002",12.8,
"DEU","FBORNPOP","TOT","PC_POP","A","2003",12.9,
"DEU","FBORNPOP","TOT","PC_POP","A","2004",13,
"DEU","FBORNPOP","TOT","PC_POP","A","2006",12.7,
"DEU","FBORNPOP","TOT","PC_POP","A","2007",12.8,
"DEU","FBORNPOP","TOT","PC_POP","A","2008",13,
"DEU","FBORNPOP","TOT","PC_POP","A","2009",13.1,
"DEU","FBORNPOP","TOT","PC_POP","A","2010",13.1,
"DEU","FBORNPOP","TOT","PC_POP","A","2011",13,
"DEU","FBORNPOP","TOT","PC_POP","A","2012",12.1,
"DEU","FBORNPOP","TOT","PC_POP","A","2013",12.4,
"DEU","FBORNPOP","TOT","PC_POP","A","2014",12.8,
"DEU","FBORNPOP","TOT","PC_POP","A","2015",13.3,
"DEU","FBORNPOP","TOT","PC_POP","A","2016",13.9,
"DEU","FBORNPOP","TOT","PC_POP","A","2017",15.4,
"DEU","FBORNPOP","TOT","PC_POP","A","2018",15.8,
"DEU","FBORNPOP","TOT","PC_POP","A","2019",16.1,
"HUN","FBORNPOP","TOT","PC_POP","A","2000",2.8,
"HUN","FBORNPOP","TOT","PC_POP","A","2001",2.9,
"HUN","FBORNPOP","TOT","PC_POP","A","2002",3,
"HUN","FBORNPOP","TOT","PC_POP","A","2003",3,
"HUN","FBORNPOP","TOT","PC_POP","A","2004",3,
"HUN","FBORNPOP","TOT","PC_POP","A","2005",3.2,
"HUN","FBORNPOP","TOT","PC_POP","A","2006",3.3,
"HUN","FBORNPOP","TOT","PC_POP","A","2007",3.4,
"HUN","FBORNPOP","TOT","PC_POP","A","2008",3.8,
"HUN","FBORNPOP","TOT","PC_POP","A","2009",4,
"HUN","FBORNPOP","TOT","PC_POP","A","2010",4.1,
